Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
722,,CN1C(=O)C2C(C1=O)C1(O)c3ccccc3C2(N)c2ccccc21,0,8.3,1,93.59077,0,40.75267,47.54781494140625,1,In
734,,COc1cc(C2C3=C(COC3=O)OC(C)(C)Oc3cc4c(cc32)OCO4)cc(OC)c1O,0,2.89,1,50.094093,0,0.9746667,17.986253306070964,1,In
738,,O=C(O)C1CC(c2ccc(F)cc2)=Nc2ccc(F)cc2S1,0,5.05,1,96.14361,0,5.4436665,35.54575754801432,1,In
750,,CC1CN=C(N(C(=O)Nc2ccc(F)c(Cl)c2)c2ccccc2)S1,1,96.01,1,89.37035,0,45.807327,77.06255777994791,2,In
753,,CC(=O)O[C@H]1[C@@H](OC(C)=O)CC2CCN3Cc4cc5c(cc4[C@H]1C23)OCO5,0,1.03,1,94.83059,0,39.617004,45.15920043945312,1,In
772,,O=C1CC(c2ccccc2)[S+]([O-])c2ccccc2N1,0,16.27,1,81.35184,0,24.63267,40.75150156656901,1,In
773,,CCOC(=O)C[C@@]12CCCN[C@]1(C)CCc1ccccc12.Cl,0,38.91,1,66.339836,0,18.056667,41.10216654459635,1,In
794,,OC1OC(c2ccc[nH]2)C(F)(F)C(F)(F)C1(F)F,0,38.85,0,44.5133,0,28.534336,37.29921264648437,0,Out
798,,O=C(c1ccc(Cl)cc1)C1OC12C(=O)Nc1ccccc12,1,74.74,1,81.35184,1,57.333664,71.14183369954428,3,In
814,,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,0,2.03,0,47.08849,1,74.09167,41.07005350748698,1,In
824,,COC(=O)c1c2c(cc3c1CC1(C3)Cc3cc4c(c(C(=O)OC)c3C1)CCC4)CCC2,0,8.25,1,81.8687,0,35.01567,41.711456298828125,1,In
831,,O=C1N(c2ccccc2)C2(O)C(=O)c3ccccc3C2(O)N1c1ccccc1,0,19.74,0,35.909214,0,32.654,29.434405721028643,0,In
832,,O=C(OCC1CCCN2CCCCC12)c1cccnc1,0,1.56,0,41.100807,0,49.45734,30.706050415039066,0,In
838,,N#CC1(C=O)c2ccccc2C=CN1C(=O)c1ccccc1,0,8.1,1,63.77762,0,14.488334,28.788651021321613,1,In
855,,COC(=O)C1CCC(=O)N1C(c1ccc(OC)cc1)c1ccc2c(c1)OCO2,0,2.65,0,40.7379,0,19.144331,20.84407755533854,0,In
861,,O=C1CC(NC(=O)C(F)(F)F)c2c1csc2Br,1,65.69,1,92.65343,0,6.0169992,54.78680847167968,2,Out
862,,CN1N=C(c2ccncc2)OC1c1cccc(C(F)(F)F)c1,1,82.99,1,81.1204,0,27.957666,64.02268798828125,2,In
866,,c1ccc2c(c1)CCCN1CCc3ccccc3C21,1,69.57,1,91.045364,1,57.148666,72.58801025390625,3,In
891,,O=C1Sc2ccccc2C(=O)N2CSCC12,0,46.96,1,58.05891,0,21.04067,42.01985961914063,1,In
894,,COC(=O)C12C3C4C1C1C2C3C41C(=O)NC(C)(C)CC(=O)O,0,4.97,1,83.93485,0,12.192668,33.69917256673177,1,In
910,,COc1cc(C2C(C(=O)O)=C(CO)Oc3cc4c(cc32)OCO4)cc(OC)c1OC,0,2.5,1,93.19545,0,2.4503334,32.71526082356771,1,In
944,,NC1=NCCC1(c1ccccc1)c1ccccn1,0,5.54,0,15.001941,0,21.217337,13.919758809407552,0,In
963,,O=C(CCNC12CC3CC(CC(C3)C1)C2)c1ccccc1,1,86.59,1,93.390366,1,53.844334,77.94156514485677,3,In
982,5.44,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0,1.09,1,80.9161,0,10.631667,30.87925587972005,1,Out
1012,,CC1CCC2c3c([nH]c4ccccc34)C3C(=O)N(C4CCCCC4)C(=O)C3C2C1,0,13.66,1,55.647736,0,47.959667,39.089135538736976,1,In
1018,,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c(=O)n1CC2,0,18.98,1,95.1596,0,14.155667,42.76508982340494,1,In
