,Canonical,Molecule ChEMBL ID,pChEMBL Value,pChEMBL Value.1,logp,mw,tpsa,n_hba,n_hbd,ro5,pfizer_rule_passed,gsk_rule_passed,goldentriangle_rule_passed,qed,sascore,sascore.1,mce18,npscore,qed_passed,sascore_passed,fsp3_passed,mce18_passed,pains_Disposed,pains_MatchedAtoms,pains_MatchedNames,alarmnmr_Disposed,alarmnmr_MatchedAtoms,alarmnmr_MatchedNames,bms_Disposed,bms_MatchedAtoms,bms_MatchedNames,chelator_Disposed,chelator_MatchedAtoms,chelator_MatchedNames
92367,Cc1ccc(N2C(=O)CSC2c2ccccc2)cc1,CHEMBL3781983,,,3.773620000000003,269.0874351,20.31,2,0,5,False,True,True,0.8267639511312067,2.344433133324996,0.1875,48.1578947368421,-1.1158970766443843,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((6, 8, 9, 10, 5),), ((9, 8, 6, 7),), ((8, 9, 10),)]","['C1CSCN1', 'SCC=O', 'CSC']",Accepted,['-'],['-'],Accepted,['-'],['-']
92375,O=C1CSC(c2ccccc2)N1c1ccc(F)cc1,CHEMBL3780254,,,3.604300000000002,273.062363224,20.31,2,0,5,False,True,True,0.8328705177481555,2.368694112345974,0.1333333333333333,48.52941176470589,-1.3814943291513424,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4, 11),), ((3, 2, 1, 0),), ((2, 3, 4),)]","['C1CSCN1', 'SCC=O', 'CSC']",Accepted,['-'],['-'],Accepted,['-'],['-']
92393,CC(C)=CCC[C@H](C)c1ccc(C)c2c1OCN(CC1CCNCC1)C2,CHEMBL3347392,,,4.996420000000004,356.282763772,24.5,3,1,5,False,False,True,0.7262918927942448,3.476014888865348,0.6521739130434783,57.26315789473684,0.47286321328645,True,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92394,CC1=CC(=O)[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C1=CC2OC1C1CCOC21,CHEMBL1091945,,,4.632900000000005,368.235144884,35.53,3,0,5,False,False,True,0.7126082065186923,5.901563794491338,0.7083333333333334,79.02439024390243,2.7910989829988924,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4, 5),)]",['C=CC(=O)C'],Accepted,['-'],['-'],Accepted,['-'],['-']
92407,O=C1CSC(c2ccccc2)N1c1ccccc1,CHEMBL2414215,,,3.465200000000002,255.071785036,20.31,2,0,5,False,True,True,0.8186921451965433,2.285702822020127,0.1333333333333333,45.294117647058826,-0.9716514353641944,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4, 11),), ((3, 2, 1, 0),), ((2, 3, 4),)]","['C1CSCN1', 'SCC=O', 'CSC']",Accepted,['-'],['-'],Accepted,['-'],['-']
92423,CS(=O)(=O)c1ccccc1-c1cc(CNC23CC4CC(CC(C4)C2)C3)no1,CHEMBL4067078,,,3.803500000000003,386.166413692,72.2,5,1,5,False,True,True,0.846062255641929,3.8170938968358232,0.5714285714285714,72.96969696969697,-1.3503795079983,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((1, 2, 3),)]",['S(=O)(=O)'],Accepted,['-'],['-'],Accepted,['-'],['-']
92448,C/C=C(/CCC1NCCc2c1[nH]c1ccccc21)[Si](C)(C)C,CHEMBL1727617,,,4.958600000000004,312.202175426,27.82,1,2,5,False,False,True,0.7673956918686881,3.503641316443584,0.4736842105263157,57.85714285714286,0.7536516035463819,True,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92449,Cc1ccc(S(=O)(=O)C(CC(=O)N2CCCC2)C(=O)c2ccccc2)cc1,CHEMBL1990642,,,3.032720000000002,385.134779216,71.52000000000001,4,0,5,False,True,True,0.7167902973812206,2.597022959882887,0.3333333333333333,62.42857142857142,-1.0156344596018485,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((5, 8, 17, 18),), ((5, 8, 9, 10, 11),), ((5, 6, 7),)]","['SCC=O', 'SCCC=O', 'S(=O)(=O)']",Accepted,['-'],['-'],Accepted,['-'],['-']
92456,CN1CCc2[nH]nc(-c3n[nH]c4c3CN(C)CC4)c2C1,CHEMBL1613358,,,0.7755999999999994,272.17494464,63.84,4,2,5,True,True,True,0.8048924007704064,3.0867518696619958,0.5714285714285714,50.90909090909091,-0.7673274174513349,True,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92463,CNC(=O)C1CCc2nnc(-c3ccccc3)n21,CHEMBL1977586,,,1.1784,242.116761068,59.81,4,1,5,True,True,True,0.8598243138297746,2.7719022247219254,0.3076923076923077,50.294117647058826,-1.392429173403278,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
